RHEA_ID	DIRECTION	MASTER_ID	ID
16826	LR	16825	R-HSA-109903.4
16826	LR	16825	R-HSA-73599.4
16826	LR	16825	R-HSA-8954327.2
16834	LR	16833	R-HSA-3323013.3
16834	LR	16833	R-HSA-3341277.3
16834	LR	16833	R-HSA-3341397.3
16834	LR	16833	R-HSA-3343700.3
16834	LR	16833	R-HSA-71676.4
16846	LR	16845	R-HSA-70975.4
16854	LR	16853	R-HSA-73828.3
16867	RL	16865	R-HSA-192341.2
16870	LR	16869	R-HSA-2162002.4
16878	LR	16877	R-HSA-1655443.4
16878	LR	16877	R-HSA-6787757.4
16878	LR	16877	R-HSA-6814165.3
16882	LR	16881	R-HSA-9013198.2
16894	LR	16893	R-HSA-175987.4
16958	LR	16957	R-HSA-4086392.3
16958	LR	16957	R-HSA-418456.2
16958	LR	16957	R-HSA-74059.2
16990	LR	16989	R-HSA-1855225.3
17027	RL	17025	R-HSA-5661240.3
17066	LR	17065	R-HSA-191380.2
17130	LR	17129	R-HSA-73812.4
17138	LR	17137	R-HSA-76500.3
17158	LR	17157	R-HSA-200318.3
17158	LR	17157	R-HSA-200326.3
17187	RL	17185	R-HSA-514604.5
17238	LR	17237	R-HSA-196929.4
17306	LR	17305	R-HSA-5693373.4
17365	UN	17365	R-HSA-5692462.2
17434	LR	17433	R-HSA-6797961.3
17442	LR	17441	R-HSA-9012597.2
17454	LR	17453	R-HSA-73814.4
17474	LR	17473	R-HSA-1474146.4
17486	LR	17485	R-HSA-265296.3
17562	LR	17561	R-HSA-372519.6
17619	RL	17617	R-HSA-266050.3
17642	LR	17641	R-HSA-350598.2
17663	RL	17661	R-HSA-70997.6
17729	UN	17729	R-HSA-8876696.2
17786	LR	17785	R-HSA-888572.3
17786	LR	17785	R-HSA-888577.3
17873	UN	17873	R-HSA-3095901.4
17873	UN	17873	R-HSA-5223313.5
17873	UN	17873	R-HSA-9759206.2
17890	LR	17889	R-HSA-5696415.3
17962	LR	17961	R-HSA-266051.4
17975	RL	17973	R-HSA-74215.6
17986	LR	17985	R-HSA-71260.7
18030	LR	18029	R-HSA-70555.5
18095	RL	18093	R-HSA-73585.3
18105	UN	18105	R-HSA-936883.2
18105	UN	18105	R-HSA-9662114.2
18105	UN	18105	R-HSA-9664214.2
