RHEA_ID	DIRECTION	MASTER_ID	ID
12420	UN	12420	GO:0009024
12424	UN	12424	GO:0030848
12428	UN	12428	GO:0050625
12432	UN	12432	GO:0047206
12436	UN	12436	GO:0047174
12440	UN	12440	GO:0004754
12444	UN	12444	GO:0047543
12448	UN	12448	GO:0004593
12452	UN	12452	GO:0047325
12456	UN	12456	GO:0047349
12460	UN	12460	GO:0004333
12464	UN	12464	GO:0047216
12476	UN	12476	GO:0050129
12480	UN	12480	GO:0047665
12484	UN	12484	GO:0008253
12488	UN	12488	GO:0047930
12492	UN	12492	GO:0018111
12508	UN	12508	GO:0030749
12512	UN	12512	GO:0008445
12516	UN	12516	GO:0034005
12524	UN	12524	GO:0047125
12528	UN	12528	GO:0050501
12532	UN	12532	GO:0050524
12536	UN	12536	GO:0047769
12540	UN	12540	GO:0004813
12544	UN	12544	GO:0043802
12548	UN	12548	GO:0010301
12552	UN	12552	GO:0050198
12556	UN	12556	GO:0017057
12560	UN	12560	GO:0050505
12568	UN	12568	GO:0018601
12576	UN	12576	GO:0033823
12580	UN	12580	GO:0050325
12584	UN	12584	GO:0047455
12588	UN	12588	GO:0003947
12593	UN	12593	GO:0008444
12597	UN	12597	GO:0102971
12601	UN	12601	GO:0047536
12605	UN	12605	GO:0008661
12613	UN	12613	GO:0047141
12617	UN	12617	GO:0033858
12621	UN	12621	GO:0047688
12625	UN	12625	GO:0016754
12629	UN	12629	GO:0047998
12633	UN	12633	GO:0018623
12637	UN	12637	GO:0050211
12641	UN	12641	GO:0004617
12645	UN	12645	GO:0043805
12649	UN	12649	GO:0050034
12653	UN	12653	GO:0004471
12657	UN	12657	GO:0008111
12661	UN	12661	GO:0004095
12665	UN	12665	GO:0046353
12669	UN	12669	GO:0004741
12673	UN	12673	GO:0018822
12677	UN	12677	GO:0047098
12681	UN	12681	GO:0047790
12693	UN	12693	GO:0050461
12697	UN	12697	GO:0050316
12701	UN	12701	GO:0008998
12705	UN	12705	GO:0004719
12709	UN	12709	GO:0016303
12713	UN	12713	GO:0050148
12717	UN	12717	GO:0047326
12721	UN	12721	GO:0004766
12725	UN	12725	GO:0047824
12733	UN	12733	GO:0004514
12737	UN	12737	GO:0050002
12741	UN	12741	GO:0047629
12745	UN	12745	GO:0050490
12749	UN	12749	GO:0018798
12753	UN	12753	GO:0047953
12757	UN	12757	GO:0050472
12761	UN	12761	GO:0030789
12765	UN	12765	GO:0019164
12769	UN	12769	GO:0033717
12777	UN	12777	GO:0050227
12789	UN	12789	GO:0004032
12793	UN	12793	GO:0000832
12797	UN	12797	GO:0047594
12805	UN	12805	GO:0030782
12809	UN	12809	GO:0047731
12813	UN	12813	GO:0008881
12817	UN	12817	GO:0047706
12821	UN	12821	GO:0004139
12825	UN	12825	GO:0033794
12829	UN	12829	GO:0050096
12833	UN	12833	GO:0047421
12837	UN	12837	GO:0004103
12841	UN	12841	GO:0047300
12853	UN	12853	GO:0047792
12857	UN	12857	GO:0050097
12861	UN	12861	GO:0047974
12865	UN	12865	GO:0047518
12869	UN	12869	GO:0050552
12877	UN	12877	GO:0033752
12881	UN	12881	GO:0033828
12885	UN	12885	GO:0016438
12889	UN	12889	GO:0050104
12893	UN	12893	GO:0050220
12897	UN	12897	GO:0010295
12901	UN	12901	GO:0047817
12905	UN	12905	GO:0008928
12909	UN	12909	GO:0050140
12917	UN	12917	GO:0050422
12921	UN	12921	GO:0003870
12929	UN	12929	GO:0004410
12933	UN	12933	GO:0008738
12937	UN	12937	GO:0047184
12941	UN	12941	GO:0008455
12945	UN	12945	GO:0018740
12949	UN	12949	GO:0047818
12957	UN	12957	GO:0008126
12961	UN	12961	GO:0047371
